factor,atr_period,order_size,dema_length,0_cumulative_return,0_max_drawdown,0_sharpe_ratio,0_annual volatility,0_annualized_return,0_calmar,0_number_of_transactions,1_cumulative_return,1_max_drawdown,1_sharpe_ratio,1_annual volatility,1_annualized_return,1_calmar,1_number_of_transactions,2_cumulative_return,2_max_drawdown,2_sharpe_ratio,2_annual volatility,2_annualized_return,2_calmar,2_number_of_transactions,3_cumulative_return,3_max_drawdown,3_sharpe_ratio,3_annual volatility,3_annualized_return,3_calmar,3_number_of_transactions,4_cumulative_return,4_max_drawdown,4_sharpe_ratio,4_annual volatility,4_annualized_return,4_calmar,4_number_of_transactions
1.5,6,50,30,1.438,0.2278,1.5083,0.1085,1.7812,1.68,67,1.1441,0.2612,0.5491,0.1321,1.2386,0.6495,77,1.289,0.1758,0.935,0.1321,1.497,1.6431,76,0.7167,0.3804,-1.2193,0.1097,0.589,-0.8221,96,0.8746,0.2363,-0.6575,0.0831,0.8083,-0.5405,84
1.5,6,50,60,1.4441,0.2127,1.5434,0.1069,1.7932,1.8149,74,1.1442,0.2305,0.5575,0.1279,1.2388,0.7236,85,1.2665,0.144,0.8933,0.1287,1.4557,1.8672,89,0.7862,0.2929,-0.9019,0.1056,0.6823,-0.7602,104,1.0025,0.1891,0.0374,0.0787,1.004,0.0364,90
1.5,6,50,100,1.4198,0.243,1.5301,0.1024,1.7456,1.5077,80,1.2897,0.1565,0.9925,0.1215,1.4983,1.8023,88,1.1367,0.2001,0.5479,0.1217,1.2258,0.7788,95,0.7941,0.3054,-0.8916,0.1028,0.6932,-0.7015,109,1.0502,0.2035,0.2916,0.0773,1.0809,0.2591,90
1.5,6,50,120,1.3447,0.262,1.3492,0.0982,1.6012,1.1824,81,1.2036,0.2063,0.7727,0.1159,1.3425,1.0152,90,1.13,0.2025,0.5289,0.1208,1.2144,0.7376,95,0.7823,0.2944,-0.9743,0.101,0.6769,-0.782,109,1.0104,0.1906,0.0778,0.0771,1.0166,0.0735,95
1.5,6,50,144,1.3945,0.2425,1.5348,0.0961,1.6964,1.4228,80,1.3369,0.2081,1.1792,0.1135,1.5863,1.5038,90,1.163,0.1967,0.6384,0.1182,1.2712,0.8972,91,0.768,0.3179,-1.0514,0.1011,0.6573,-0.782,110,1.0394,0.1828,0.2364,0.0748,1.0633,0.2262,95
1.5,6,50,169,1.3036,0.2319,1.2389,0.0958,1.524,1.1963,83,1.3813,0.2009,1.299,0.1139,1.671,1.7217,89,1.1838,0.2015,0.7138,0.1152,1.3075,0.9544,92,0.8171,0.2805,-0.8124,0.0989,0.7254,-0.6697,108,0.9973,0.2072,-0.0005,0.0746,0.9957,-0.0005,96
1.5,6,50,252,1.4395,0.2172,1.7387,0.0922,1.7842,1.726,74,1.1551,0.3046,0.6287,0.1134,1.2575,0.5474,89,1.1729,0.1838,0.6839,0.114,1.2885,0.9917,87,0.8613,0.2733,-0.5959,0.0975,0.7888,-0.4972,105,1.0797,0.1277,0.466,0.0716,1.1295,0.6116,90
1.5,6,50,576,1.3657,0.1873,1.5496,0.0884,1.641,1.7103,75,1.2722,0.2624,1.0111,0.1106,1.4661,0.9964,83,1.4005,0.1173,1.4437,0.1049,1.7081,3.0202,81,0.8937,0.2854,-0.4697,0.0925,0.8364,-0.356,100,0.9749,0.2203,-0.1638,0.0671,0.9604,-0.1167,86
1.5,6,50,676,1.3637,0.166,1.5388,0.0886,1.6373,1.9221,73,1.4806,0.2282,1.6467,0.1067,1.8658,1.8006,76,1.3041,0.1169,1.1711,0.1029,1.5249,2.4095,82,0.9009,0.2788,-0.441,0.0913,0.8472,-0.3376,102,0.9089,0.2458,-0.5978,0.0682,0.8593,-0.3879,85
1.5,6,60,30,1.5323,0.2915,1.5223,0.1291,1.9704,1.5759,66,1.1639,0.3189,0.5614,0.1576,1.2728,0.6487,76,1.3432,0.2113,0.9497,0.1578,1.5983,1.6583,75,0.6657,0.4433,-1.2136,0.1312,0.5238,-0.8399,95,0.8476,0.2811,-0.6501,0.0993,0.769,-0.5371,84
1.5,6,60,60,1.5405,0.2732,1.558,0.1272,1.9871,1.6962,74,1.1644,0.28,0.5691,0.1526,1.2737,0.7255,85,1.3155,0.1793,0.9074,0.1537,1.5463,1.8184,89,0.7443,0.3437,-0.895,0.1263,0.6254,-0.769,104,0.999,0.2267,0.0484,0.0941,0.9985,0.0469,91
1.5,6,60,100,1.51,0.3129,1.5445,0.1218,1.9251,1.4054,80,1.3466,0.1925,1.0094,0.145,1.6046,1.7776,88,1.1564,0.2396,0.5597,0.1453,1.2597,0.7937,95,0.7534,0.3596,-0.8848,0.1229,0.6377,-0.7073,109,1.0566,0.2416,0.3044,0.0924,1.0913,0.2723,90
1.5,6,60,120,1.415,0.3344,1.3611,0.1167,1.7361,1.1109,81,1.2397,0.2538,0.7872,0.1382,1.407,1.0026,90,1.1486,0.2421,0.5413,0.1442,1.2463,0.7541,95,0.7402,0.3472,-0.9676,0.1209,0.6199,-0.7877,109,1.0088,0.2259,0.0897,0.0921,1.014,0.0856,95
1.5,6,60,144,1.4783,0.3081,1.5485,0.1143,1.8613,1.3429,80,1.4075,0.2623,1.1986,0.1353,1.7215,1.4456,90,1.1891,0.2352,0.6509,0.1411,1.3168,0.9133,91,0.7238,0.3761,-1.0456,0.121,0.5983,-0.7864,110,1.0438,0.2185,0.2494,0.0894,1.0705,0.2387,95
1.5,6,60,169,1.363,0.2903,1.2482,0.1138,1.6359,1.1449,83,1.4649,0.2557,1.3214,0.1358,1.8345,1.6409,89,1.2156,0.2416,0.7279,0.1375,1.3638,0.969,92,0.7801,0.3321,-0.8053,0.1183,0.6738,-0.6706,108,0.9933,0.247,0.0115,0.0892,0.9893,0.0097,96
